Akustyka i elektroakustyka;2L;lic. Maciej Michaluk;3;zst;egz;1;1;1;1;2;I;KiTM;wtorek, 15:35-16:20, sala 001E;
Analiza i interpretacja dzieła muzycznego;2;prof. dr hab. Anna Granat-Janki;5;zst;egz;2;2;2;2;4;I;KiTM;czwartek, 12:00-13:30, sala 202B;"Kontynuacja ""Analizy i interpretacji dzieła muzycznego 1"""
Analiza i interpretacja dzieła muzycznego 1;1L;prof. dr hab. Anna Granat-Janki;5;zst;zst;2;2;2;2;4;I;KiTM;czwartek, 10:00-11:30, sala 202B;
Analiza współczesnego dzieła muzycznego;1M;dr hab. Paweł Hendrich;2;zal;zst;2;2;2;2;4;I;KiTM;wtorek, 14:10-15:40, sala 005D;
Estetyka muzyki;1M;dr Miłosz Kula;2;zal;zst;2;2;2;2;4;I;KiTM;środa, 12:35-14:05, sala 005D;
Etnomuzykologia 1;1M;dr Agnieszka Zwierzycka;5;zal;zst;1;1;1;1;2;I;KiTM;czwartek, 16:20-17:05, sala 217A;
Formy muzyczne;1L/3L;dr Katarzyna Bartos;5;zst;zst/egz;2;2;2;2;4;I;KiTM;wtorek, 09:00-10:30, sala 202B;
Fuga;3L;prof. dr hab. Krystian Kiełb;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 14:00-15:30, sala 203B;Polifonia XX i XXI wieku
Harmonia (grupa 1);2L;dr hab. Adam Porębski;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 10:35-12:05, sala 002E;Harmonia XX i XXI wieku
Harmonia (grupa 2);2L;dr hab. Adam Porębski;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 12:15-13:45, sala 002E;Harmonia XX i XXI wieku
Harmonia systemu funkcyjnego (grupa 1);1L;dr Katarzyna Dziewiątkowska;3;zst;zst;2;2;2;2;4;I;KiTM;poniedziałek,10:25-11:55, sala 203B;
Harmonia systemu funkcyjnego (grupa 2);1L;dr Katarzyna Dziewiątkowska;3;zst;zst;2;2;2;2;4;I;KiTM;poniedziałek,12:10-13:40, sala 203B;
Historia i literatura muzyki elektroakustycznej;3L;dr Marta Śniady;3;zst;egz;2;2;2;2;4;I;KiTM;środa, 17:50-19:20, sala 301B;
Historia muzyki;2L;dr hab. Tomasz Kienik;8;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 10:25-11:55, sala 217A; Od klasycyzmu do XX w.
Historia muzyki 1;1L;dr Miłosz Kula;20;zst;zst;2;2;2;2;4;I;KiTM;środa, 16:00-17:30, sala 001E; Od starożytności do XVIII w.
Historia muzyki filmowej ;2M;dr hab. Sebastian Ładyżyński;5;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 09:00-12:00, sala 301B,  realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Historia muzyki teatralnej i filmowej;1M;dr Katarzyna Dziewiątkowska;15;zal;zst;2;2;2;2;4;I;KiTM;wtorek, 09:00-12:00, sala 301B,  realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Historia śląskiej kultury muzycznej;3L;dr Miłosz Kula;10;zst;egz;1;1;1;1;2;I;KiTM;środa, 11:00-12:30, sala 005D, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Historia teorii muzyki (wykład);1M;dr hab. Tomasz Kienik;4;zst;egz;1;1;1;1;2;I;KiTM;poniedziałek, 12:00-13:30, sala 217A, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Komputer w pracy twórczej;1M;dr hab. Paweł Hendrich;1;zal;zst;1;1;2;2;4;I;KiTM;wtorek, 16:15-17:45, sala 112 SKK, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;"Wymagania wstępne: ukończony kurs ""Propedeutyka kompozycji komputerowej"" lub wiedza i umiejętności adekwatne do poziomu zaliczenia tego kursu"
Kontrapunkt (grupa 1);2L;dr Katarzyna Dziewiątkowska;2;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 08:50-10:20, sala 203B;"Kontynuacja ""Kontrapunktu 1"""
Kontrapunkt (grupa 2);2L;dr Katarzyna Dziewiątkowska;2;zal;egz;2;2;2;2;4;I;KiTM;poniedziałek, 13:45-15:15, sala 203B;"Kontynuacja ""Kontrapunktu 1"""
Kontrapunkt 1 (grupa 1);1L;dr Michał Ziółkowski;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 12:15-13:45, sala 301B;
Kontrapunkt 1 (grupa 2);1L;dr Michał Ziółkowski;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 13:50-15:20, sala 301B;
Krytyka i prelekcja;2L;mgr Joanna Kołodziejska;10;zal;zst;2;2;2;2;4;I;KiTM;wtorek, 16:25-17:55, sala 301B;
Kształcenie słuchu 2 (grupa 1);2L;dr hab. Michał Moc;2;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 15:20-16:05, sala 301F, Poniedziałek stacjonarnie. E-learning: realizowany indywidualnie wt-sb;"Kontynuacja ""Kształcenia słuchu 1"". Zapis tylko po wcześniejszym ustaleniu z prowadzącym"
Kształcenie słuchu 2 (grupa 2);2L;dr hab. Michał Moc;2;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 16:10-16:55, sala 301F, Poniedziałek stacjonarnie. E-learning: realizowany indywidualnie wt-sb;"Kontynuacja ""Kształcenia słuchu 1"". Zapis tylko po wcześniejszym ustaleniu z prowadzącym"
Kształcenie słuchu 1 (grupa 1);1L;dr hab. Adam Porębski;2;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 16:00-17:30, sala 203B;
Kształcenie słuchu 1 (grupa 2);1L;mgr Urszula Koza;3;zst;zst;2;2;2;2;4;I;KiTM;wtorek, 16:00-17:30, sala 005D;
Kształcenie słuchu z partyturą orkiestrową;3L;dr hab. Tomasz Kienik;5;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 08:50-10:20, sala 217A;Przedmiot rekomendowany studentom kompozycji i teorii muzyki
Kultura i sztuka Baroku na Śląsku 1648-1741;3L;dr Dariusz Galewski;10;zal;zst;2;2;2;2;4;I;KiTM;piątek, 10:05-11:35, sala 001E;
Literatura muzyczna;2L;dr Aleksandra Pijarowska, prof. AMKL;2;zst;egz;2;2;2;2;4;I;KiTM;środa, 11:00-12:30, sala 301B;"Kontynuacja ""Literatury muzycznej 1"""
Literatura muzyczna 1;1L;dr Miłosz Kula;15;zst;zst;2;2;2;2;4;I;KiTM;środa, 17:35-19:05, sala 001E;Od starożytności do XVIII w.
Metodologia pracy naukowej;2L;prof. dr hab. Anna Granat-Janki;2;zst;egz;1;1;1;1;2;I;KiTM;środa, 14:15-15:00, sala 202B;
Metody analityczne w XX i XXI wieku;1M;dr hab. Tomasz Kienik;2;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 10:00-11:30, sala 301B;
Muzyka a humanistyka;2M;dr Katarzyna Bartos;5;zst;egz;2;2;2;3;5;I;KiTM;czwartek, 13:10-14:40, sala 001E;Fakultet dla studentów Wydziału Instrumentalnego.
Muzyka i media;2L;mgr Joanna Kołodziejska;15;zal;zst;1;1;1;1;2;I;KiTM;wtorek, 14:00-15:30, sala 217A, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Muzyka polska XX i XXI wieku;2L;dr Aleksandra Pijarowska, prof. AMKL;2;zst;egz;2;2;2;2;4;I;KiTM;środa, 12:35-14:05, sala 301B;
Muzyka XX i XXI wieku - kontynuacja;2M;dr Katarzyna Bartos;5;zst;egz;2;2;3;3;6;I;KiTM;czwartek, 11:35-13:05, sala 301B;"Kontynuacja ""Muzyki XX i XXI wieku 1"""
Muzyka XX i XXI wieku 1;1M;prof. dr hab. Anna Granat-Janki;5;zst;zst;2;2;2;2;4;I;KiTM;środa, 11:00-12:30, sala 202B;
Muzykologiczna informacja naukowa – wprowadzenie do bibliografii naukowej;2M;mgr Aleksandra Ferenc;3;zst;egz;2;2;2;2;4;I;KiTM;czwartek, 09:30-11:00,,;Sala do uzgodnienia z prowadzącą
Nowoczesne metody zarządzania zespołem;3L;dr hab. Robert Kurdybacha;15;zst;zst;1;1;1;1;2;I;KiTM;czwartek, 17:45-19:15, sala 301B, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Organizacja życia muzycznego;2L;dr Miłosz Kula;10;zal;zst;1;1;1;1;2;I;KiTM;środa, 15:05-15:50, sala 005D;
Orkiestra muzyki XX i XXI wieku;wszystkie lata;dr hab. Robert Kurdybacha;b.o.;zal;zal;2;2;3;3;6;I;KiTM;czwartek, 14:30-17:30, Sala Prób 102E, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Paleografia muzyczna;1M;dr Grzegorz Joachimiak;5;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 11:40-14:40, sala 002E, zajęcia realizowane w podwójnym wymiarze godzin wyłącznie w semestrze zimowym;
Podstawy instrumentacji i kompozycji;2L;dr Grzegorz Wierzba;2;zal;zst;1;1;1;1;2;I;KiTM;środa, 17:50-18:35, sala 404B;
Podstawy realizacji nagrań;3L;mgr Kamil Biedrzycki;5;zst;-;2;-;2;-;2;I;KiTM;poniedziałek, 12:15-13:45, sala 112 SKK;
Podstawy reżyserii dźwięku;1M;mgr Kamil Biedrzycki;3;zal;zst;1;1;1;1;2;I;KiTM;poniedziałek, 17:00-20:00, sala 112 SKK, zajęcia w blokach. Realizacja w ustalonych przez prowadzącego terminach;"wyłącznie po zrealizowaniu kursu ""Podstawy realizacji nagrań"""
Praktyki orkiestrowe;wszystkie lata;opiekun dr Miłosz Kula;b.o.;zal;zal;1;1;2;2;4;I;KiTM;;zajęcia w blokach, terminy ustali prowadzący
Propedeutyka kompozycji komputerowej;3L;lic. Maciej Michaluk;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 12:15-13:45, 112 SKK;
Propedeutyka muzyki teatralnej i filmowej;3L;"dr hab. Sebastian Ładyżyński /
 mgr Kamil Biedrzycki";2;zst;egz;2;2;2;2;4;I;KiTM;poniedziałek, 10:30-12:00, sala 112 SKK;
Psychologia twórczości;2L;dr Amelia Golema;5;zal;zst;2;2;2;2;4;I;KiTM;czwartek, 09:35-11:05, sala Kameralna;
Publicystyka muzyczna;2M;mgr Joanna Kołodziejska;10;zst;egz;2;2;3;3;6;I;KiTM;wtorek, 18:00-19:30, sala 301B;
Technologia muzyki komputerowej;2M;dr Marcin Rupociński;2;zst;egz;2;2;2;2;4;I;KiTM;wtorek, 09:00-12:00 sala 112 SKK, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;"Kontynuacja ""Technologii muzyki kumputerowej 1"""
Technologia muzyki komputerowej 1;1M;dr Marcin Rupociński;2;zst;zst;2;2;3;3;6;I;KiTM;wtorek, 09:00-12:00 sala 112 SKK, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;
Technologie przestrzennej dystrybucji dźwięku;2M;dr hab. Paweł Hendrich;1;zst;egz;1;1;1;1;2;I;KiTM;wtorek, 16:15-17:45, sala 112 SKK, realizacja w podwójnym wymiarze godzin w ustalonych przez prowadzącego terminach;"Wymagania wstępne: ukończony kurs ""Propedeutyka kompozycji komputerowej"" i ""Komputer w pracy twórczej"" lub wiedza i umiejętności adekwatne do poziomu zaliczenia tych kursów"
Wielkie formy muzyczne;2M;dr Aleksandra Pijarowska, prof. AMKL;15;zst;egz;2;2;2;2;4;I;KiTM;środa, 09:25-10:55, sala 301B;
Wprowadzenie do teorii muzyki;1L;dr hab. Tomasz Kienik;10;zst;egz;1;1;4;4;8;I;KiTM;czwartek, 09:05-09:50, sala 301B;
Współczesne techniki kompozytorskie;2L;dr Mateusz Ryczek;2;zst;egz;2;2;2;2;4;I;KiTM;czwartek, 08:00-09:30, sala 001E;
Analiza form muzycznych;2L;mgr Aleksandra Ferenc;2;zal;zst;1;1;1;1;2;I;Mt;piątek, 10.35-11.20, sala 201 F;Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia
Arteterapia;2L;dr Daniela Colonna-Kasjan;10;zal;zst;2;2;2;2;4;I;Mt;wtorek, 9.50-11.20, sala 305 F;
Choreoterapia ;3L;dr Agnieszka Zygmont;2;zst;egz;1;1;1;1;2;I;Mt;poniedziałek, 9.35-11.05, Ul. Ciepła 15B;wykład
Harmonia;2L;mgr Aleksandra Ferenc;4;zal;zst;1;1;1;1;2;I;Mt;środa, 8.15-9.00, sala 203 B, grupa II 9.05-9.50;Dla studentów, którzy nie ukończyli szkoły muzycznej II stopnia
Historia muzykoterapii z literaturą muzyczną;1L;dr Klaudia Kukiełczyńska-Krawczyk;12;zst;zst;2;2;2;2;4;I;Mt;środa, 11.35 - 13.05, sala 201 F;
Instrumentarium Orffa w muzykoterapii;1L;dr Klaudia Kukiełczyńska-Krawczyk;12;zal;zst;1;1;1;1;2;I;Mt;środa, 10.40-11.25, sala 305 F;
Kontrapunkt;3L;;5;zal;zst;1;1;2;2;4;I;Mt;środa, 13.30-14.15, sala 201 F;
Metody i techniki muzykoterapii;2L;dr Daniela Colonna-Kasjan;3;zal;zst;1;1;1;1;2;I;Mt;czwartek, 8.20-9.05, sala 305 F, grupa II 9.05-9.50. grupa III 9.50-10.25, ;
Metody i techniki parateatralne;1L;dr Marzenna Wojak;10;zal;zst;2;2;2;2;4;I;Mt;środa, 13.10-14.40, sala baletowa ;
Metody i techniki relaksacyjne;2L;dr Agnieszka Zygmont;;zal;zst;1;1;1;1;2;I;Mt;poniedziałek, 8.00-9.30, ul. Ciepła 15B, grupa I i II;
Muzykoterapia kreatywna ;1M;dr Klaudia Kukiełczyńska-Krawczyk;10;zal;zst;2;2;2;2;4;I;Mt;wtorek, 14.20-15.50, sala 201 F;
Pedagogika specjalna;1L;dr hab. Barbara Winczura;4;zst;zst;2;2;2;2;4;I;Mt;środa, 8.15-9.45, sala 217 A;
Podstawy anatomii i fizjologii;1L;lek. Kacper Kuszczyński;12;zal;zst;2;2;2;2;4;I;Mt;poniedziałek, 15.20-18.20, sala 201 F;Pierwsze zajęcia 4 grudnia.
